German_Headword,English_Meaning,Example_Sentence_DE,Example_Sentence_EN,,YouGlish_Link
ander-,other / different,"Willst du diesen Mantel? Nein, ich möchte den <b>anderen</b>.","Do you want this coat? No, I want the other one.",,https://youglish.com/pronounce/ander/german
ändern (sich),to change,Das Wetter hat sich <b>geändert</b>.,The weather has changed.,,https://youglish.com/pronounce/ändern/german
anders,differently,<b>Anders</b> geht das leider nicht.,"Unfortunately, it cannot be done differently.",,https://youglish.com/pronounce/anders/german
"anfangen | fängt an, fing an, hat angefangen",to begin / start,Hier <b>fängt</b> die Bahnhofstraße <b>an</b>.,Bahnhofstraße begins here.,,https://youglish.com/pronounce/anfangen/german
"der Anfang, -e",beginning / start,Sie wohnt am <b>Anfang</b> der Straße.,She lives at the beginning of the street.,,https://youglish.com/pronounce/Anfang/german
"die Angst, -e",fear / anxiety,Hab keine <b>Angst</b>!,Don't be afraid!,,https://youglish.com/pronounce/Angst/german
"ankommen | kommt an, kam an, ist angekommen",to arrive,Wann <b>kommt</b> dieser Zug in Hamburg <b>an</b>?,When does this train arrive in Hamburg?,,https://youglish.com/pronounce/ankommen/german
"die Ankunft, -e",arrival,Auf diesem Fahrplan steht nur die <b>Ankunft</b> der Züge.,This timetable only shows the arrival of the trains.,,https://youglish.com/pronounce/Ankunft/german
anmachen,to turn on,Mach bitte das Licht <b>an</b>!,Please turn on the light!,,https://youglish.com/pronounce/anmachen/german
anmelden (sich),to register / sign up,Wo kann ich mich <b>anmelden</b>?,Where can I register?,,https://youglish.com/pronounce/anmelden/german
"die Anmeldung, -en",registration,Eine <b>Anmeldung</b> für diesen Kurs ist nicht mehr möglich.,Registration for this course is no longer possible.,,https://youglish.com/pronounce/Anmeldung/german
"der Anrufbeantworter, -",answering machine,Sprechen Sie bitte auf den <b>Anrufbeantworter</b>.,Please speak onto the answering machine.,,https://youglish.com/pronounce/Anrufbeantworter/german
"anrufen | ruft an, rief an, hat angerufen",to call (phone),Kann ich Sie heute Abend <b>anrufen</b>?,Can I call you this evening?,,https://youglish.com/pronounce/anrufen/german
"der Anruf, -e",phone call,Eva bekommt viele <b>Anrufe</b> von ihrem Freund Juan.,Eva receives many phone calls from her boyfriend Juan.,,https://youglish.com/pronounce/Anruf/german
"der Anschluss, -e",connection,In Mannheim haben Sie <b>Anschluss</b> nach Saarbrücken.,In Mannheim you have a connection to Saarbrücken.,,https://youglish.com/pronounce/Anschluss/german
"ansehen | sieht an, sah an, hat angesehen",to look at / watch,Darf ich eure Urlaubsfotos <b>ansehen</b>?,May I look at your vacation photos?,,https://youglish.com/pronounce/ansehen/german
antworten auf (+ Akk.),to answer / reply,Er <b>antwortet</b> nicht.,He does not answer.,,https://youglish.com/pronounce/antworten/german
"die Antwort, -en",answer / reply,Er gibt leider keine <b>Antwort</b>.,"Unfortunately, he gives no answer.",,https://youglish.com/pronounce/Antwort/german
"die Anzeige, -n",advertisement,Ich habe Ihre <b>Anzeige</b> in der Zeitung gelesen.,I read your advertisement in the newspaper.,,https://youglish.com/pronounce/Anzeige/german
"der Anzug, -e",suit,Mein Mann muss sich einen neuen <b>Anzug</b> kaufen.,My husband has to buy a new suit.,,https://youglish.com/pronounce/Anzug/german
"der Apfel, -",apple,"Ein Kilo <b>Äpfel</b>, bitte.","One kilo of apples, please.",,https://youglish.com/pronounce/Apfel/german
"die Apotheke, -n",pharmacy,Das Medikament bekommen Sie in der <b>Apotheke</b>.,You can get the medication at the pharmacy.,,https://youglish.com/pronounce/Apotheke/german
"der Apparat, -e",appliance / device,Was machen wir mit deinem alten <b>Apparat</b>?,What are we doing with your old device?,,https://youglish.com/pronounce/Apparat/german
arbeiten,to work,Wo <b>arbeiten</b> Sie?,Where do you work?,,https://youglish.com/pronounce/arbeiten/german
"die Arbeit, -en",work / job,Mein Bruder sucht <b>Arbeit</b>.,My brother is looking for work.,,https://youglish.com/pronounce/Arbeit/german
arbeitslos,unemployed,Seit wann ist er schon <b>arbeitslos</b>?,Since when has he been unemployed?,,https://youglish.com/pronounce/arbeitslos/german
ärgern (sich) über (+ Akk.),to get annoyed,Warum <b>ärgerst</b> du dich?,Why are you getting annoyed?,,https://youglish.com/pronounce/ärgern/german
"arm (ärmer, am ärmsten)",poor,"Sie haben nicht viel Geld, sie sind <b>arm</b>.","They don't have much money, they are poor.",,https://youglish.com/pronounce/arm/german
"der Arm, -e",arm,Mein <b>Arm</b> tut weh.,My arm hurts.,,https://youglish.com/pronounce/Arm/german
"der Artikel, -",article,"Im Deutschen gibt es drei <b>Artikel</b>: der, die und das.","In German there are three articles: der, die, and das.",,https://youglish.com/pronounce/Artikel/german
auch,also / too,Ich bin <b>auch</b> Spanier.,I am also Spanish.,,https://youglish.com/pronounce/auch/german
auf (+ Dat./Akk.),on / upon,Das Wörterbuch liegt <b>auf</b> dem Tisch.,The dictionary is lying on the table.,,https://youglish.com/pronounce/auf/german
auf jeden/keinen Fall,in any/no case,Ich möchte <b>auf jeden Fall</b> den neuen James-Bond-Film sehen.,I definitely want to see the new James Bond movie in any case.,,https://youglish.com/pronounce/Fall/german
aufhören mit (+ Dat.),to stop / cease,Wann <b>hört</b> ihr mit der Arbeit <b>auf</b>?,When do you stop working?,,https://youglish.com/pronounce/aufhören/german
aufmachen,to open,Kannst du bitte die Tür <b>aufmachen</b>?,Could you please open the door?,,https://youglish.com/pronounce/aufmachen/german
aufpassen auf (+ Akk.),to watch / pay attention,"<b>Pass auf</b>, der Teller fällt gleich auf den Boden!","Watch out, the plate is about to fall onto the floor!",,https://youglish.com/pronounce/aufpassen/german
aufräumen,to tidy up,Die Kinder müssen ihr Zimmer <b>aufräumen</b>.,The children have to tidy up their room.,,https://youglish.com/pronounce/aufräumen/german
aufregend,exciting,Die letzte Woche war sehr <b>aufregend</b>.,Last week was very exciting.,,https://youglish.com/pronounce/aufregend/german
"aufstehen | steht auf, stand auf, ist aufgestanden",to get up / stand up,Ich <b>stehe</b> jeden Morgen um sieben Uhr <b>auf</b>.,I get up every morning at seven o'clock.,,https://youglish.com/pronounce/aufstehen/german
"der Aufzug, -e",elevator / lift,In diesem Haus gibt es keinen <b>Aufzug</b>.,There is no elevator in this building.,,https://youglish.com/pronounce/Aufzug/german
"das Auge, -n",eye,Er hat blaue <b>Augen</b>.,He has blue eyes.,,https://youglish.com/pronounce/Auge/german
aus (+ Dat.),from / out of,Michele kommt <b>aus</b> Brasilien.,Michele comes from Brazil.,,https://youglish.com/pronounce/aus/german
"die Ausbildung, -en",training / apprenticeship,Ich möchte eine <b>Ausbildung</b> zum Krankenpfleger machen.,I would like to do vocational training to become a nurse.,,https://youglish.com/pronounce/Ausbildung/german
"der Ausflug, -e",excursion / trip,Morgen machen wir einen <b>Ausflug</b> nach Heidelberg.,Tomorrow we are taking an excursion to Heidelberg.,,https://youglish.com/pronounce/Ausflug/german
ausfüllen,to fill out,Füllen Sie bitte dieses Formular <b>aus</b>!,Please fill out this form!,,https://youglish.com/pronounce/ausfüllen/german
"der Ausgang, -e",exit,"Entschuldigung, wo ist der <b>Ausgang</b>?","Excuse me, where is the exit?",,https://youglish.com/pronounce/Ausgang/german
"ausgeben für (+ Akk.) | gibt aus, gab aus, hat ausgegeben",to spend (money),Agata gibt viel Geld für Bücher <b>aus</b>.,Agata spends a lot of money on books.,,https://youglish.com/pronounce/ausgeben/german
"ausgehen | geht aus, ging aus, ist ausgegangen",to go out / turn off,Gehen wir am Freitag zusammen <b>aus</b>?,Shall we go out together on Friday?,,https://youglish.com/pronounce/ausgehen/german
"die Auskunft, -e",information desk / info,Können Sie mir bitte eine <b>Auskunft</b> geben?,Could you please provide me with some information?,,https://youglish.com/pronounce/Auskunft/german
das Ausland (kein Pl.),abroad / foreign countries,Fahren Sie ins <b>Ausland</b>?,Are you traveling abroad?,,https://youglish.com/pronounce/Ausland/german
ausmachen,to turn off,Mach bitte das Licht <b>aus</b>!,Please turn off the light!,,https://youglish.com/pronounce/ausmachen/german
auspacken,to unpack,Packst du bitte den Koffer <b>aus</b>?,Could you please unpack the suitcase?,,https://youglish.com/pronounce/auspacken/german
ausruhen (sich),to rest / relax,<b>Ruh</b> dich erst mal <b>aus</b>!,Get some rest first!,,https://youglish.com/pronounce/ausruhen/german
"aussehen | sieht aus, sah aus, hat ausgesehen",to look / appear,Wie <b>sieht</b> er <b>aus</b>?,What does he look like?,,https://youglish.com/pronounce/aussehen/german
außer (+ Dat.),except / apart from,<b>Außer</b> Lisa möchte niemand den Film sehen.,"Except for Lisa, nobody wants to watch the movie.",,https://youglish.com/pronounce/außer/german
außerdem,besides / furthermore,"Vier Brötchen, möchten Sie <b>außerdem</b> noch etwas?",Four bread rolls; would you like anything else besides?,,https://youglish.com/pronounce/außerdem/german
außerhalb (+ Gen.),outside of,"Die Wohnung ist nicht in der Stadt, sie liegt etwas <b>außerhalb</b>.","The apartment is not in the city, it is situated somewhat outside.",,https://youglish.com/pronounce/außerhalb/german
"aussprechen | spricht aus, sprach aus, hat ausgesprochen",to pronounce,Wie <b>spricht</b> man das Wort <b>aus</b>?,How do you pronounce that word?,,https://youglish.com/pronounce/aussprechen/german
"aussteigen | steigt aus, stieg aus, ist ausgestiegen",to get off / exit,Wo müssen wir <b>aussteigen</b>?,Where do we have to get off?,,https://youglish.com/pronounce/aussteigen/german
"die Ausstellung, -en",exhibition,Gehen wir morgen zusammen in die <b>Ausstellung</b>?,Shall we go to the exhibition together tomorrow?,,https://youglish.com/pronounce/Ausstellung/german
"austragen | trägt aus, trug aus, hat ausgetragen",to deliver / distribute,Er <b>trägt</b> jeden Morgen die Zeitung <b>aus</b>.,He delivers the newspaper every morning.,,https://youglish.com/pronounce/austragen/german
"der Ausweis, -e",ID card / identity card,Darf ich bitte mal Ihren <b>Ausweis</b> sehen?,May I please see your ID card?,,https://youglish.com/pronounce/Ausweis/german
"das Auto, -s",car / automobile,Er fährt mit dem <b>Auto</b>.,He travels by car.,,https://youglish.com/pronounce/Auto/german
"die Autobahn, -en",highway / motorway,Darf ich mit dem Motorroller auf der <b>Autobahn</b> fahren?,Am I allowed to drive on the highway with a motor scooter?,,https://youglish.com/pronounce/Autobahn/german
"der Automat, -en",vending machine / ticket machine,Fahrkarten gibt es nur am <b>Automaten</b>.,Tickets are only available at the machine.,,https://youglish.com/pronounce/Automat/german
automatisch,automatic,"Achtung, die Türen schließen <b>automatisch</b>!","Attention, the doors close automatically!",,https://youglish.com/pronounce/automatisch/german
"das Baby, -s",baby,Wir haben ein <b>Baby</b>. Es ist sechs Wochen alt.,We have a baby. It is six weeks old.,,https://youglish.com/pronounce/Baby/german
"der Babysitter, -",babysitter,Meine Tochter arbeitet als <b>Babysitter</b> bei einer Familie mit vier Kindern.,My daughter works as a babysitter for a family with four children.,,https://youglish.com/pronounce/Babysitter/german
"backen | bäckt/backt, backte/buk, hat gebacken",to bake,"Wenn du kommst, <b>backe</b> ich einen Kuchen.","When you come, I will bake a cake.",,https://youglish.com/pronounce/backen/german
"die Bäckerei, -en",bakery,Ich geh mal schnell zur <b>Bäckerei</b>.,I'll just quickly go to the bakery.,,https://youglish.com/pronounce/Bäckerei/german
"das Bad, -er",bath / bathroom,Im Winter nehme ich gern ein warmes <b>Bad</b>.,In winter I like taking a warm bath.,,https://youglish.com/pronounce/Bad/german
baden,to bathe / swim,"Ich <b>bade</b> nicht so gern, ich dusche lieber.","I don't really like taking a bath, I prefer showering.",,https://youglish.com/pronounce/baden/german
"die Bahn, -en",train / railway,Wir fahren lieber mit der <b>Bahn</b> als mit dem Bus.,We prefer traveling by train rather than by bus.,,https://youglish.com/pronounce/Bahn/german
"der Bahnhof, -e",train station,"Entschuldigung, komme ich hier zum <b>Bahnhof</b>?","Excuse me, is this the way to the train station?",,https://youglish.com/pronounce/Bahnhof/german
"der Bahnsteig, -e",platform,Auf Hauptbahnhöfen gibt es meist viele <b>Bahnsteige</b>.,At main train stations there are usually many platforms.,,https://youglish.com/pronounce/Bahnsteig/german
bald,soon,Ich komme <b>bald</b>.,I am coming soon.,,https://youglish.com/pronounce/bald/german
"der Balkon, -e",balcony,Die Wohnung hat auch einen kleinen <b>Balkon</b>.,The apartment also has a small balcony.,,https://youglish.com/pronounce/Balkon/german
"der Ball, -e",ball,Meine Kinder spielen gern <b>Ball</b>.,My children like playing ball.,,https://youglish.com/pronounce/Ball/german
"die Banane, -n",banana,"Drei <b>Bananen</b>, bitte!","Three bananas, please!",,https://youglish.com/pronounce/Banane/german
"die Band, -s",band / musical group,Anton spielt in einer <b>Band</b>.,Anton plays in a band.,,https://youglish.com/pronounce/Band/german
"die Bank, -en",bank (financial),Bei welcher <b>Bank</b> haben Sie Ihr Konto?,At which bank do you have your account?,,https://youglish.com/pronounce/Bank/german
"die Bank, -e",bench,"Kommt, wir setzen uns auf diese <b>Bank</b>.","Come on, let's sit down on this bench.",,https://youglish.com/pronounce/Bank/german
bar,in cash,Muss ich <b>bar</b> zahlen oder geht's auch mit Karte?,Do I have to pay in cash or is card accepted too?,,https://youglish.com/pronounce/bar/german
"der Basketball, -e",basketball,Yannick spielt lieber <b>Basketball</b> als Fußball.,Yannick prefers playing basketball to football.,,https://youglish.com/pronounce/Basketball/german
basteln,to do crafts / tinker,Die Kinder haben etwas <b>gebastelt</b>.,The children made something with crafts.,,https://youglish.com/pronounce/basteln/german
"der Bauch, -e",belly / stomach,Seit gestern tut mir der <b>Bauch</b> weh.,My stomach has been hurting since yesterday.,,https://youglish.com/pronounce/Bauch/german
bauen,to build,Unsere Nachbarn <b>bauen</b> ein neues Haus.,Our neighbors are building a new house.,,https://youglish.com/pronounce/bauen/german
"der Baum, -e",tree,Der <b>Baum</b> ist über hundert Jahre alt.,The tree is over a hundred years old.,,https://youglish.com/pronounce/Baum/german
"die Baustelle, -n",construction site,Vor unserem Haus ist eine große <b>Baustelle</b>.,In front of our house there is a large construction site.,,https://youglish.com/pronounce/Baustelle/german
beantworten,to answer,Können Sie meine Frage bitte <b>beantworten</b>?,Could you please answer my question?,,https://youglish.com/pronounce/beantworten/german
bedanken (sich) bei (+ Dat.) für (+ Akk.),to thank,Ich möchte mich noch einmal sehr herzlich für Ihre Hilfe <b>bedanken</b>.,I would like to thank you very warmly once again for your help.,,https://youglish.com/pronounce/bedanken/german
bedeuten,to mean / signify,Was <b>bedeutet</b> das Wort?,What does that word mean?,,https://youglish.com/pronounce/bedeuten/german
beeilen (sich),to hurry,Kannst du dich bitte <b>beeilen</b>? Der Bus fährt gleich ab!,Could you please hurry? The bus is about to leave!,,https://youglish.com/pronounce/beeilen/german
beenden,to finish / end,Du musst deine Ausbildung auf jeden Fall <b>beenden</b>.,You definitely have to finish your training.,,https://youglish.com/pronounce/beenden/german
"beginnen | beginnt, begann, hat begonnen",to begin / start,Das Spiel <b>beginnt</b> um 15.30 Uhr.,The match begins at 3:30 PM.,,https://youglish.com/pronounce/beginnen/german
begründen,to justify / give reasons,Bitte <b>begründen</b> Sie Ihre Meinung.,Please justify your opinion.,,https://youglish.com/pronounce/begründen/german
bei (+ Dat.),at / with / near,Offenbach liegt <b>bei</b> Frankfurt.,Offenbach is located near Frankfurt.,,https://youglish.com/pronounce/bei/german
beide,both,Wir kommen <b>beide</b>.,Both of us are coming.,,https://youglish.com/pronounce/beide/german
"das Bein, -e",leg,Mein rechtes <b>Bein</b> tut weh.,My right leg hurts.,,https://youglish.com/pronounce/Bein/german
bekannt,known / famous,Picasso ist sehr <b>bekannt</b>.,Picasso is very famous.,,https://youglish.com/pronounce/bekannt/german
"der/die Bekannte, -n",acquaintance / friend,Ein <b>Bekannter</b> von mir heißt Klaus.,An acquaintance of mine is named Klaus.,,https://youglish.com/pronounce/Bekannte/german
"bekommen | bekommt, bekam, hat bekommen",to get / receive,Haben Sie meinen Brief <b>bekommen</b>?,Did you receive my letter?,,https://youglish.com/pronounce/bekommen/german
beliebt,popular,Fußball ist bei vielen Menschen <b>beliebt</b>.,Football is popular among many people.,,https://youglish.com/pronounce/beliebt/german
benutzen,to use,Die Aufzüge bitte nicht <b>benutzen</b>!,Please do not use the elevators!,,https://youglish.com/pronounce/benutzen/german
bequem,comfortable,Das Sofa ist sehr <b>bequem</b>.,The couch is very comfortable.,,https://youglish.com/pronounce/bequem/german
"beraten | berät, beriet, hat beraten",to advise / counsel,"Unsere Sekretärin <b>berät</b> Sie gern, wenn Sie Fragen haben.",Our secretary will gladly advise you if you have questions.,,https://youglish.com/pronounce/beraten/german
"der Berg, -e",mountain,Die Zugspitze ist der höchste <b>Berg</b> in Deutschland.,The Zugspitze is the highest mountain in Germany.,,https://youglish.com/pronounce/Berg/german
berichten über (+ Akk.) / von (+ Dat.),to report,Alle Zeitungen <b>berichten</b> von dem Unfall.,All the newspapers are reporting on the accident.,,https://youglish.com/pronounce/berichten/german
"der Beruf, -e",profession / occupation,Was bist du von <b>Beruf</b>?,What is your profession?,,https://youglish.com/pronounce/Beruf/german
berühmt,famous / renowned,Thomas Müller ist ein <b>berühmter</b> Fußballspieler.,Thomas Müller is a famous football player.,,https://youglish.com/pronounce/berühmt/german
der Bescheid (kein Pl.),notice / decision,Kannst du mir bis morgen <b>Bescheid</b> geben?,Can you let me know by tomorrow?,,https://youglish.com/pronounce/Bescheid/german
"beschreiben | beschreibt, beschrieb, hat beschrieben",to describe,Kannst du mir den Weg zum Bahnhof <b>beschreiben</b>?,Can you describe the way to the train station to me?,,https://youglish.com/pronounce/beschreiben/german
beschweren (sich) über (+ Akk.),to complain,Hier ist es zu laut. Wo können wir uns <b>beschweren</b>?,It is too loud here. Where can we complain?,,https://youglish.com/pronounce/beschweren/german
besetzt,occupied / busy,"Ist dieser Platz frei? Nein, er ist <b>besetzt</b>.","Is this seat free? No, it is occupied.",,https://youglish.com/pronounce/besetzt/german
besichtigen,to view / visit (sight),Ich möchte gern das Schloss <b>besichtigen</b>.,I would like to visit the castle.,,https://youglish.com/pronounce/besichtigen/german
besonders,particularly / especially,Dieses Angebot ist <b>besonders</b> günstig.,This offer is especially favorable.,,https://youglish.com/pronounce/besonders/german
bestätigen,to confirm,"Ich kann <b>bestätigen</b>, dass er hier war.",I can confirm that he was here.,,https://youglish.com/pronounce/bestätigen/german
"bestehen aus (+ Dat.) | besteht, bestand, hat bestanden",to pass / consist of,Ich habe die Prüfung <b>bestanden</b>!,I passed the exam!,,https://youglish.com/pronounce/bestehen/german
bestellen,to order,Wir möchten bitte <b>bestellen</b>.,"We would like to order, please.",,https://youglish.com/pronounce/bestellen/german
"der Besuch, -e",visit / visitors,Wir bekommen am Wochenende <b>Besuch</b>.,We are having visitors this weekend.,,https://youglish.com/pronounce/Besuch/german
besuchen,to visit,Darf ich dich mal <b>besuchen</b>?,May I visit you sometime?,,https://youglish.com/pronounce/besuchen/german
"das Bett, -en",bed,Sie ist krank und muss heute im <b>Bett</b> bleiben.,She is ill and must stay in bed today.,,https://youglish.com/pronounce/Bett/german
"bewerben (sich) um (+ Akk.) | bewirbt, bewarb, hat beworben",to apply for,Ich möchte mich um diese Stelle <b>bewerben</b>.,I would like to apply for this job.,,https://youglish.com/pronounce/bewerben/german
"die Bewerbung, -en",application,Kannst du mir bei meiner <b>Bewerbung</b> helfen?,Can you help me with my application?,,https://youglish.com/pronounce/Bewerbung/german
bewölkt,cloudy / overcast,Heute ist es <b>bewölkt</b>.,Today it is overcast.,,https://youglish.com/pronounce/bewölkt/german
"die Wolke, -n",cloud,Es gibt viele <b>Wolken</b> am Himmel.,There are many clouds in the sky.,,https://youglish.com/pronounce/Wolke/german
bezahlen,to pay,Wo kann ich <b>bezahlen</b>?,Where can I pay?,,https://youglish.com/pronounce/bezahlen/german
"die Bibliothek, -en",library,Sie lernt jeden Tag in der <b>Bibliothek</b>.,She studies in the library every day.,,https://youglish.com/pronounce/Bibliothek/german
"das Bier, -e",beer,"Noch ein <b>Bier</b>, bitte.","Another beer, please.",,https://youglish.com/pronounce/Bier/german
"das Bild, -er",picture / image,Hast du ein <b>Bild</b> von deinem Sohn?,Do you have a picture of your son?,,https://youglish.com/pronounce/Bild/german
billig,cheap / inexpensive,Das ist aber <b>billig</b>!,That is really cheap!,,https://youglish.com/pronounce/billig/german
"die Birne, -n",pear,"Ein Kilo <b>Birnen</b>, bitte!","One kilo of pears, please!",,https://youglish.com/pronounce/Birne/german
bis (+ Akk.),until / up to,Ich fahre nur <b>bis</b> Stuttgart.,I am only traveling as far as Stuttgart.,,https://youglish.com/pronounce/bis/german
ein bisschen,a little / a bit,Können Sie bitte ein <b>bisschen</b> lauter sprechen?,Could you please speak a little louder?,,https://youglish.com/pronounce/bisschen/german
bitte,please,"Eine Tasse Kaffee, <b>bitte</b>!","A cup of coffee, please!",,https://youglish.com/pronounce/bitte/german
"die Bitte, -n",request,Ich habe noch eine <b>Bitte</b>.,I have one more request.,,https://youglish.com/pronounce/Bitte/german
"bitten um (+ Akk.) | bittet, bat, hat gebeten",to ask for / request,Darf ich Sie um etwas <b>bitten</b>?,May I ask you for something?,,https://youglish.com/pronounce/bitten/german
bitter,bitter,Kaffee ohne Zucker schmeckt <b>bitter</b>.,Coffee without sugar tastes bitter.,,https://youglish.com/pronounce/bitter/german
"das Blatt, -er",sheet / leaf,Haben Sie ein <b>Blatt</b> Papier für mich?,Do you have a sheet of paper for me?,,https://youglish.com/pronounce/Blatt/german
"bleiben | bleibt, blieb, ist geblieben",to stay / remain,Wir <b>bleiben</b> drei Tage in Berlin.,We are staying three days in Berlin.,,https://youglish.com/pronounce/bleiben/german
"der Bleistift, -e",pencil,Hast du einen <b>Bleistift</b>?,Do you have a pencil?,,https://youglish.com/pronounce/Bleistift/german
blöd,silly / stupid,"Ich finde es <b>blöd</b>, dass du morgen gehen musst.",I think it's a pity that you have to leave tomorrow.,,https://youglish.com/pronounce/blöd/german
"der/das Blog, -s",blog,Ich schreibe einen <b>Blog</b> über Mode.,I write a blog about fashion.,,https://youglish.com/pronounce/Blog/german
blond,blonde,Lisa hat <b>blonde</b> Haare.,Lisa has blonde hair.,,https://youglish.com/pronounce/blond/german
"die Blume, -n",flower,Gefallen dir die <b>Blumen</b>?,Do you like the flowers?,,https://youglish.com/pronounce/Blume/german
"die Bluse, -n",blouse,Ich suche eine weiße <b>Bluse</b>.,I am looking for a white blouse.,,https://youglish.com/pronounce/Bluse/german
"die Bohne, -n",bean,Hans isst nicht gern <b>Bohnen</b>.,Hans does not like eating beans.,,https://youglish.com/pronounce/Bohne/german
böse auf (+ Akk.),angry / mad,Sie ist richtig <b>böse</b> auf mich.,She is really angry with me.,,https://youglish.com/pronounce/böse/german
"braten | brät, briet, hat gebraten",to roast / fry,<b>Braten</b> Sie das Fleisch in etwas Öl!,Fry the meat in a little oil!,,https://youglish.com/pronounce/braten/german
brauchen,to need,Ich <b>brauche</b> ein neues Auto.,I need a new car.,,https://youglish.com/pronounce/brauchen/german
"der Brief, -e",letter,Haben Sie einen <b>Brief</b> für mich?,Do you have a letter for me?,,https://youglish.com/pronounce/Brief/german
"die Briefmarke, -n",postage stamp,Bitte die <b>Briefmarke</b> nicht vergessen!,Please don't forget the postage stamp!,,https://youglish.com/pronounce/Briefmarke/german
"die Brille, -n",glasses / spectacles,Wo ist meine <b>Brille</b>?,Where are my glasses?,,https://youglish.com/pronounce/Brille/german
"bringen | bringt, brachte, hat gebracht",to bring / take,<b>Bringen</b> Sie mir bitte noch einen Kaffee!,Please bring me another coffee!,,https://youglish.com/pronounce/bringen/german
"das Brot, -e",bread,Nimm doch noch ein <b>Brot</b> für das Abendessen.,Do take another bread for dinner.,,https://youglish.com/pronounce/Brot/german
"das Brötchen, -",bread roll,Möchtest du Brot oder <b>Brötchen</b> zum Frühstück?,Would you like bread or bread rolls for breakfast?,,https://youglish.com/pronounce/Brötchen/german
"die Brücke, -n",bridge,Fahren Sie über die nächste <b>Brücke</b> und dann nach links.,Drive over the next bridge and then turn left.,,https://youglish.com/pronounce/Brücke/german
"das Buch, -er",book,"Was kostet das <b>Buch</b>, bitte?","How much does the book cost, please?",,https://youglish.com/pronounce/Buch/german
buchen,to book / reserve,Morgen <b>buche</b> ich unsere Urlaubsreise.,Tomorrow I will book our vacation trip.,,https://youglish.com/pronounce/buchen/german
"der Buchstabe, -n",letter (alphabet),Diesen <b>Buchstaben</b> gibt es in meiner Sprache nicht.,This letter does not exist in my language.,,https://youglish.com/pronounce/Buchstabe/german
buchstabieren,to spell,Würden Sie bitte Ihren Namen <b>buchstabieren</b>?,Would you please spell your name?,,https://youglish.com/pronounce/buchstabieren/german
bunt,colorful,Anna trägt gern <b>bunte</b> Kleider.,Anna likes wearing colorful dresses.,,https://youglish.com/pronounce/bunt/german
"das Büro, -s",office,Ich arbeite in einem <b>Büro</b>.,I work in an office.,,https://youglish.com/pronounce/Büro/german
